ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H00300.CSI,20260821,6922.1855,,,,6879.6508,42.5347,0.6183,,
H00300.CSI,20260820,6879.6508,,,,6873.4426,6.2082,0.0903,,
H00300.CSI,20260819,6873.4426,,,,7077.8781,-204.4355,-2.8884,,
H00300.CSI,20260818,7077.8781,,,,7100.7701,-22.892,-0.3224,,
H00300.CSI,20260817,7100.7701,,,,6988.1173,112.6528,1.6121,,
H00300.CSI,20260814,6988.1173,,,,6984.8466,3.2707,0.0468,,
H00300.CSI,20260813,6984.8466,,,,7023.9683,-39.1217,-0.557,,
H00300.CSI,20260812,7023.9683,,,,6983.3485,40.6198,0.5817,,
H00300.CSI,20260811,6983.3485,,,,7039.7211,-56.3726,-0.8008,,
H00300.CSI,20260810,7039.7211,,,,7027.3843,12.3368,0.1756,,
H00300.CSI,20260807,7027.3843,,,,6961.2001,66.1842,0.9508,,
H00300.CSI,20260806,6961.2001,,,,6971.4445,-10.2444,-0.1469,,
H00300.CSI,20260805,6971.4445,,,,6885.8017,85.6428,1.2438,,
H00300.CSI,20260804,6885.8017,,,,6799.369,86.4327,1.2712,,
H00300.CSI,20260803,6799.369,,,,6865.999,-66.63,-0.9704,,
H00300.CSI,20260731,6865.999,,,,6806.0404,59.9586,0.881,,
H00300.CSI,20260730,6806.0404,,,,6880.4002,-74.3598,-1.0807,,
H00300.CSI,20260729,6880.4002,,,,6833.9001,46.5001,0.6804,,
H00300.CSI,20260728,6833.9001,,,,7031.8244,-197.9243,-2.8147,,
H00300.CSI,20260727,7031.8244,,,,6952.0875,79.7369,1.1469,,
H00300.CSI,20260724,6952.0875,,,,7069.2439,-117.1564,-1.6573,,
H00300.CSI,20260723,7069.2439,,,,7052.9728,16.2711,0.2307,,
H00300.CSI,20260722,7052.9728,,,,7085.4308,-32.458,-0.4581,,
H00300.CSI,20260721,7085.4308,,,,6874.7176,210.7132,3.065,,
H00300.CSI,20260720,6874.7176,,,,6770.283,104.4346,1.5425,,
H00300.CSI,20260717,6770.283,,,,7018.5089,-248.2259,-3.5367,,
H00300.CSI,20260716,7018.5089,,,,7144.603,-126.0941,-1.7649,,
H00300.CSI,20260715,7144.603,,,,7158.6754,-14.0724,-0.1966,,
H00300.CSI,20260714,7158.6754,,,,7007.5165,151.1589,2.1571,,
H00300.CSI,20260713,7007.5165,,,,7132.3472,-124.8307,-1.7502,,
H00300.CSI,20260710,7132.3472,,,,7266.3783,-134.0311,-1.8445,,
H00300.CSI,20260709,7266.3783,,,,7085.3073,181.071,2.5556,,
H00300.CSI,20260708,7085.3073,,,,7139.9151,-54.6078,-0.7648,,
H00300.CSI,20260707,7139.9151,,,,7213.9638,-74.0487,-1.0265,,
H00300.CSI,20260706,7213.9638,,,,7213.4471,0.5167,0.0072,,
H00300.CSI,20260703,7213.4471,,,,7167.8574,45.5897,0.636,,
H00300.CSI,20260702,7167.8574,,,,7385.594,-217.7366,-2.9481,,
H00300.CSI,20260701,7385.594,,,,7415.7837,-30.1897,-0.4071,,
H00300.CSI,20260630,7415.7837,,,,7336.646,79.1377,1.0787,,
H00300.CSI,20260629,7336.646,,,,7244.1063,92.5397,1.2774,,
H00300.CSI,20260626,7244.1063,,,,7459.487,-215.3807,-2.8873,,
H00300.CSI,20260625,7459.487,,,,7344.5187,114.9683,1.5654,,
H00300.CSI,20260624,7344.5187,,,,7309.0668,35.4519,0.485,,
H00300.CSI,20260623,7309.0668,,,,7517.3503,-208.2835,-2.7707,,
H00300.CSI,20260622,7517.3503,,,,7341.6628,175.6875,2.393,,
H00300.CSI,20260618,7341.6628,,,,7325.5609,16.1019,0.2198,,
H00300.CSI,20260617,7325.5609,,,,7254.7299,70.831,0.9763,,
H00300.CSI,20260616,7254.7299,,,,7265.6362,-10.9063,-0.1501,,
H00300.CSI,20260615,7265.6362,,,,7094.654,170.9822,2.41,,
H00300.CSI,20260612,7094.654,,,,7009.1299,85.5241,1.2202,,
H00300.CSI,20260611,7009.1299,,,,7046.9332,-37.8033,-0.5365,,
H00300.CSI,20260610,7046.9332,,,,7118.7103,-71.7771,-1.0083,,
H00300.CSI,20260609,7118.7103,,,,6987.7922,130.9181,1.8735,,
H00300.CSI,20260608,6987.7922,,,,7140.2038,-152.4116,-2.1346,,
H00300.CSI,20260605,7140.2038,,,,7267.6447,-127.4409,-1.7535,,
H00300.CSI,20260604,7267.6447,,,,7317.4559,-49.8112,-0.6807,,
H00300.CSI,20260603,7317.4559,,,,7281.3493,36.1066,0.4959,,
H00300.CSI,20260602,7281.3493,,,,7177.0223,104.327,1.4536,,
H00300.CSI,20260601,7177.0223,,,,7247.6968,-70.6745,-0.9751,,
H00300.CSI,20260529,7247.6968,,,,7278.6698,-30.973,-0.4255,,
H00300.CSI,20260528,7278.6698,,,,7269.0694,9.6004,0.1321,,
H00300.CSI,20260527,7269.0694,,,,7325.6442,-56.5748,-0.7723,,
H00300.CSI,20260526,7325.6442,,,,7286.1171,39.5271,0.5425,,
H00300.CSI,20260525,7286.1171,,,,7172.7519,113.3652,1.5805,,
H00300.CSI,20260522,7172.7519,,,,7080.4846,92.2673,1.3031,,
H00300.CSI,20260521,7080.4846,,,,7180.4075,-99.9229,-1.3916,,
H00300.CSI,20260520,7180.4075,,,,7182.6181,-2.2106,-0.0308,,
H00300.CSI,20260519,7182.6181,,,,7153.466,29.1521,0.4075,,
H00300.CSI,20260518,7153.466,,,,7191.9059,-38.4399,-0.5345,,
H00300.CSI,20260515,7191.9059,,,,7272.5355,-80.6296,-1.1087,,
H00300.CSI,20260514,7272.5355,,,,7396.3818,-123.8463,-1.6744,,
H00300.CSI,20260513,7396.3818,,,,7318.9323,77.4495,1.0582,,
H00300.CSI,20260512,7318.9323,,,,7324.2672,-5.3349,-0.0728,,
H00300.CSI,20260511,7324.2672,,,,7205.7449,118.5223,1.6448,,
H00300.CSI,20260508,7205.7449,,,,7247.7501,-42.0052,-0.5796,,
H00300.CSI,20260507,7247.7501,,,,7213.1175,34.6326,0.4801,,
H00300.CSI,20260506,7213.1175,,,,7109.905,103.2125,1.4517,,
H00300.CSI,20260430,7109.905,,,,7113.7181,-3.8131,-0.0536,,
H00300.CSI,20260429,7113.7181,,,,7036.2401,77.478,1.1011,,
